name,value,year,lastValue
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,NA,,NA
3M,3586,,3586
3M,3621.9,,3586
3M,3657.8,,3621.9
3M,3693.7,,3657.8
3M,3729.6,,3693.7
3M,3765.5,,3729.6
3M,3801.4,,3765.5
3M,3837.3,,3801.4
3M,3873.2,,3837.3
3M,3909.1,,3873.2
3M,3945,,3909.1
3M,4016.1,,3945
3M,4087.2,,4016.1
3M,4158.3,,4087.2
3M,4229.4,,4158.3
3M,4300.5,,4229.4
3M,4371.6,,4300.5
3M,4442.7,,4371.6
3M,4513.8,,4442.7
3M,4584.9,,4513.8
3M,4656,,4584.9
3M,4731.7,,4656
3M,4807.4,,4731.7
3M,4883.1,,4807.4
3M,4958.8,,4883.1
3M,5034.5,,4958.8
3M,5110.2,,5034.5
3M,5185.9,,5110.2
3M,5261.6,,5185.9
3M,5337.3,,5261.6
3M,5413,,5337.3
3M,5489.4,,5413
3M,5565.8,,5489.4
3M,5642.2,,5565.8
3M,5718.6,,5642.2
3M,5795,,5718.6
3M,5871.4,,5795
3M,5947.8,,5871.4
3M,6024.2,,5947.8
3M,6100.6,,6024.2
3M,6177,,6100.6
3M,6283.6,,6177
3M,6390.2,,6283.6
3M,6496.8,,6390.2
3M,6603.4,,6496.8
3M,6710,,6603.4
3M,6816.6,,6710
3M,6923.2,,6816.6
3M,7029.8,,6923.2
3M,7136.4,,7029.8
3M,7243,,7136.4
3M,7338.6,,7243
3M,7434.2,,7338.6
3M,7529.8,,7434.2
3M,7625.4,,7529.8
3M,7721,,7625.4
3M,7816.6,,7721
3M,7912.2,,7816.6
3M,8007.8,,7912.2
3M,8103.4,,8007.8
3M,8199,,8103.4
3M,8273.8,,8199
3M,8348.6,,8273.8
3M,8423.4,,8348.6
3M,8498.2,,8423.4
3M,8573,,8498.2
3M,8647.8,,8573
3M,8722.6,,8647.8
3M,8797.4,,8722.6
3M,8872.2,,8797.4
3M,8947,,8872.2
3M,8962.7,,8947
3M,8978.4,,8962.7
3M,8994.1,,8978.4
3M,9009.8,,8994.1
3M,9025.5,,9009.8
3M,9041.2,,9025.5
3M,9056.9,,9041.2
3M,9072.6,,9056.9
3M,9088.3,,9072.6
3M,9104,,9088.3
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,NA,,NA
Accenture,5182,,5182
Accenture,5193.9,,5182
Accenture,5205.8,,5193.9
Accenture,5217.7,,5205.8
Accenture,5229.6,,5217.7
Accenture,5241.5,,5229.6
Accenture,5253.4,,5241.5
Accenture,5265.3,,5253.4
Accenture,5277.2,,5265.3
Accenture,5289.1,,5277.2
Accenture,5301,,5289.1
Accenture,5348.1,,5301
Accenture,5395.2,,5348.1
Accenture,5442.3,,5395.2
Accenture,5489.4,,5442.3
Accenture,5536.5,,5489.4
Accenture,5583.6,,5536.5
Accenture,5630.7,,5583.6
Accenture,5677.8,,5630.7
Accenture,5724.9,,5677.8
Accenture,5772,,5724.9
Accenture,5809,,5772
Accenture,5846,,5809
Accenture,5883,,5846
Accenture,5920,,5883
Accenture,5957,,5920
Accenture,5994,,5957
Accenture,6031,,5994
Accenture,6068,,6031
Accenture,6105,,6068
Accenture,6142,,6105
Accenture,6200.6,,6142
Accenture,6259.2,,6200.6
Accenture,6317.8,,6259.2
Accenture,6376.4,,6317.8
Accenture,6435,,6376.4
Accenture,6493.6,,6435
Accenture,6552.2,,6493.6
Accenture,6610.8,,6552.2
Accenture,6669.4,,6610.8
Accenture,6728,,6669.4
Accenture,6784.8,,6728
Accenture,6841.6,,6784.8
Accenture,6898.4,,6841.6
Accenture,6955.2,,6898.4
Accenture,7012,,6955.2
Accenture,7068.8,,7012
Accenture,7125.6,,7068.8
Accenture,7182.4,,7125.6
Accenture,7239.2,,7182.4
Accenture,7296,,7239.2
Accenture,7361.2,,7296
Accenture,7426.4,,7361.2
Accenture,7491.6,,7426.4
Accenture,7556.8,,7491.6
Accenture,7622,,7556.8
Accenture,7687.2,,7622
Accenture,7752.4,,7687.2
Accenture,7817.6,,7752.4
Accenture,7882.8,,7817.6
Accenture,7948,,7882.8
Accenture,7924.2,,7948
Accenture,7900.4,,7924.2
Accenture,7876.6,,7900.4
Accenture,7852.8,,7876.6
Accenture,7829,,7852.8
Accenture,7805.2,,7829
Accenture,7781.4,,7805.2
Accenture,7757.6,,7781.4
Accenture,7733.8,,7757.6
Accenture,7710,,7733.8
Accenture,7687.1,,7710
Accenture,7664.2,,7687.1
Accenture,7641.3,,7664.2
Accenture,7618.4,,7641.3
Accenture,7595.5,,7618.4
Accenture,7572.6,,7595.5
Accenture,7549.7,,7572.6
Accenture,7526.8,,7549.7
Accenture,7503.9,,7526.8
Accenture,7481,,7503.9
Accenture,7533.4,,7481
Accenture,7585.8,,7533.4
Accenture,7638.2,,7585.8
Accenture,7690.6,,7638.2
Accenture,7743,,7690.6
Accenture,7795.4,,7743
Accenture,7847.8,,7795.4
Accenture,7900.2,,7847.8
Accenture,7952.6,,7900.2
Accenture,8005,,7952.6
Accenture,8079,,8005
Accenture,8153,,8079
Accenture,8227,,8153
Accenture,8301,,8227
Accenture,8375,,8301
Accenture,8449,,8375
Accenture,8523,,8449
Accenture,8597,,8523
Accenture,8671,,8597
Accenture,8745,,8671
Accenture,8817.6,,8745
Accenture,8890.2,,8817.6
Accenture,8962.8,,8890.2
Accenture,9035.4,,8962.8
Accenture,9108,,9035.4
Accenture,9180.6,,9108
Accenture,9253.2,,9180.6
Accenture,9325.8,,9253.2
Accenture,9398.4,,9325.8
Accenture,9471,,9398.4
Accenture,9512.1,,9471
Accenture,9553.2,,9512.1
Accenture,9594.3,,9553.2
Accenture,9635.4,,9594.3
Accenture,9676.5,,9635.4
Accenture,9717.6,,9676.5
Accenture,9758.7,,9717.6
Accenture,9799.8,,9758.7
Accenture,9840.9,,9799.8
Accenture,9882,,9840.9
Accenture,9973.8,,9882
