name,value,year,lastValue
3M,,2000,NA
3M,,2000.1,NA
3M,,2000.2,NA
3M,,2000.3,NA
3M,,2000.4,NA
3M,,2000.5,NA
3M,,2000.6,NA
3M,,2000.7,NA
3M,,2000.8,NA
3M,,2000.9,NA
3M,,2001,NA
3M,,2001.1,NA
3M,,2001.2,NA
3M,,2001.3,NA
3M,,2001.4,NA
3M,,2001.5,NA
3M,,2001.6,NA
3M,,2001.7,NA
3M,,2001.8,NA
3M,,2001.9,NA
3M,,2002,NA
3M,,2002.1,NA
3M,,2002.2,NA
3M,,2002.3,NA
3M,,2002.4,NA
3M,,2002.5,NA
3M,,2002.6,NA
3M,,2002.7,NA
3M,,2002.8,NA
3M,,2002.9,NA
3M,,2003,NA
3M,,2003.1,NA
3M,,2003.2,NA
3M,,2003.3,NA
3M,,2003.4,NA
3M,,2003.5,NA
3M,,2003.6,NA
3M,,2003.7,NA
3M,,2003.8,NA
3M,,2003.9,NA
3M,,2004,NA
3M,,2004.1,NA
3M,,2004.2,NA
3M,,2004.3,NA
3M,,2004.4,NA
3M,,2004.5,NA
3M,,2004.6,NA
3M,,2004.7,NA
3M,,2004.8,NA
3M,,2004.9,NA
3M,,2005,NA
3M,,2005.1,NA
3M,,2005.2,NA
3M,,2005.3,NA
3M,,2005.4,NA
3M,,2005.5,NA
3M,,2005.6,NA
3M,,2005.7,NA
3M,,2005.8,NA
3M,,2005.9,NA
3M,,2006,NA
3M,,2006.1,NA
3M,,2006.2,NA
3M,,2006.3,NA
3M,,2006.4,NA
3M,,2006.5,NA
3M,,2006.6,NA
3M,,2006.7,NA
3M,,2006.8,NA
3M,,2006.9,NA
3M,,2007,NA
3M,,2007.1,NA
3M,,2007.2,NA
3M,,2007.3,NA
3M,,2007.4,NA
3M,,2007.5,NA
3M,,2007.6,NA
3M,,2007.7,NA
3M,,2007.8,NA
3M,,2007.9,NA
3M,,2008,NA
3M,,2008.1,NA
3M,,2008.2,NA
3M,,2008.3,NA
3M,,2008.4,NA
3M,,2008.5,NA
3M,,2008.6,NA
3M,,2008.7,NA
3M,,2008.8,NA
3M,,2008.9,NA
3M,,2009,NA
3M,,2009.1,NA
3M,,2009.2,NA
3M,,2009.3,NA
3M,,2009.4,NA
3M,,2009.5,NA
3M,,2009.6,NA
3M,,2009.7,NA
3M,,2009.8,NA
3M,,2009.9,NA
3M,,2010,3586
3M,,2010.1,3586
3M,,2010.2,3621.9
3M,,2010.3,3657.8
3M,,2010.4,3693.7
3M,,2010.5,3729.6
3M,,2010.6,3765.5
3M,,2010.7,3801.4
3M,,2010.8,3837.3
3M,,2010.9,3873.2
3M,,2011,3909.1
3M,,2011.1,3945
3M,,2011.2,4016.1
3M,,2011.3,4087.2
3M,,2011.4,4158.3
3M,,2011.5,4229.4
3M,,2011.6,4300.5
3M,,2011.7,4371.6
3M,,2011.8,4442.7
3M,,2011.9,4513.8
3M,,2012,4584.9
3M,,2012.1,4656
3M,,2012.2,4731.7
3M,,2012.3,4807.4
3M,,2012.4,4883.1
3M,,2012.5,4958.8
3M,,2012.6,5034.5
3M,,2012.7,5110.2
3M,,2012.8,5185.9
3M,,2012.9,5261.6
3M,,2013,5337.3
3M,,2013.1,5413
3M,,2013.2,5489.4
3M,,2013.3,5565.8
3M,,2013.4,5642.2
3M,,2013.5,5718.6
3M,,2013.6,5795
3M,,2013.7,5871.4
3M,,2013.8,5947.8
3M,,2013.9,6024.2
3M,,2014,6100.6
3M,,2014.1,6177
3M,,2014.2,6283.6
3M,,2014.3,6390.2
3M,,2014.4,6496.8
3M,,2014.5,6603.4
3M,,2014.6,6710
3M,,2014.7,6816.6
3M,,2014.8,6923.2
3M,,2014.9,7029.8
3M,,2015,7136.4
3M,,2015.1,7243
3M,,2015.2,7338.6
3M,,2015.3,7434.2
