name,value,year
3M,NA,2000
3M,NA,2000.1
3M,NA,2000.2
3M,NA,2000.3
3M,NA,2000.4
3M,NA,2000.5
3M,NA,2000.6
3M,NA,2000.7
3M,NA,2000.8
3M,NA,2000.9
3M,NA,2001
3M,NA,2001.1
3M,NA,2001.2
3M,NA,2001.3
3M,NA,2001.4
3M,NA,2001.5
3M,NA,2001.6
3M,NA,2001.7
3M,NA,2001.8
3M,NA,2001.9
3M,NA,2002
3M,NA,2002.1
3M,NA,2002.2
3M,NA,2002.3
3M,NA,2002.4
3M,NA,2002.5
3M,NA,2002.6
3M,NA,2002.7
3M,NA,2002.8
3M,NA,2002.9
3M,NA,2003
3M,NA,2003.1
3M,NA,2003.2
3M,NA,2003.3
3M,NA,2003.4
3M,NA,2003.5
3M,NA,2003.6
3M,NA,2003.7
3M,NA,2003.8
3M,NA,2003.9
3M,NA,2004
3M,NA,2004.1
3M,NA,2004.2
3M,NA,2004.3
3M,NA,2004.4
3M,NA,2004.5
3M,NA,2004.6
3M,NA,2004.7
3M,NA,2004.8
3M,NA,2004.9
3M,NA,2005
3M,NA,2005.1
3M,NA,2005.2
3M,NA,2005.3
3M,NA,2005.4
3M,NA,2005.5
3M,NA,2005.6
3M,NA,2005.7
3M,NA,2005.8
3M,NA,2005.9
3M,NA,2006
3M,NA,2006.1
3M,NA,2006.2
3M,NA,2006.3
3M,NA,2006.4
3M,NA,2006.5
3M,NA,2006.6
3M,NA,2006.7
3M,NA,2006.8
3M,NA,2006.9
3M,NA,2007
3M,NA,2007.1
3M,NA,2007.2
3M,NA,2007.3
3M,NA,2007.4
3M,NA,2007.5
3M,NA,2007.6
3M,NA,2007.7
3M,NA,2007.8
3M,NA,2007.9
3M,NA,2008
3M,NA,2008.1
3M,NA,2008.2
3M,NA,2008.3
3M,NA,2008.4
3M,NA,2008.5
3M,NA,2008.6
3M,NA,2008.7
3M,NA,2008.8
3M,NA,2008.9
3M,NA,2009
3M,NA,2009.1
3M,NA,2009.2
3M,NA,2009.3
3M,NA,2009.4
3M,NA,2009.5
3M,NA,2009.6
3M,NA,2009.7
3M,NA,2009.8
3M,NA,2009.9
3M,3586,2010
3M,3621.9,2010.1
3M,3657.8,2010.2
3M,3693.7,2010.3
3M,3729.6,2010.4
3M,3765.5,2010.5
3M,3801.4,2010.6
3M,3837.3,2010.7
3M,3873.2,2010.8
3M,3909.1,2010.9
3M,3945,2011
3M,4016.1,2011.1
3M,4087.2,2011.2
3M,4158.3,2011.3
3M,4229.4,2011.4
3M,4300.5,2011.5
3M,4371.6,2011.6
3M,4442.7,2011.7
3M,4513.8,2011.8
3M,4584.9,2011.9
3M,4656,2012
3M,4731.7,2012.1
3M,4807.4,2012.2
3M,4883.1,2012.3
3M,4958.8,2012.4
3M,5034.5,2012.5
3M,5110.2,2012.6
3M,5185.9,2012.7
3M,5261.6,2012.8
3M,5337.3,2012.9
3M,5413,2013
3M,5489.4,2013.1
3M,5565.8,2013.2
3M,5642.2,2013.3
3M,5718.6,2013.4
3M,5795,2013.5
3M,5871.4,2013.6
3M,5947.8,2013.7
3M,6024.2,2013.8
3M,6100.6,2013.9
3M,6177,2014
3M,6283.6,2014.1
3M,6390.2,2014.2
3M,6496.8,2014.3
3M,6603.4,2014.4
3M,6710,2014.5
3M,6816.6,2014.6
3M,6923.2,2014.7
3M,7029.8,2014.8
3M,7136.4,2014.9
3M,7243,2015
3M,7338.6,2015.1
3M,7434.2,2015.2
3M,7529.8,2015.3
3M,7625.4,2015.4
